iter	Passed	Remaining
464	734	844
465	735	842
466	736	840
467	736	837
468	737	835
469	738	832
470	739	830
471	740	828
472	741	825
473	742	823
474	742	821
475	747	822
476	748	820
477	749	818
478	752	818
479	753	815
480	753	813
481	754	811
482	755	809
483	757	807
484	761	808
485	763	807
486	764	805
487	765	803
488	768	802
489	769	800
490	770	798
491	771	796
492	771	793
493	772	791
494	773	789
495	777	789
496	778	787
497	779	785
498	780	783
499	780	780
500	782	779
501	784	778
502	786	776
503	787	775
504	788	772
505	789	771
506	790	769
507	791	766
508	792	764
509	793	762
510	794	760
511	795	758
512	796	755
513	797	753
514	798	751
515	798	749
516	799	747
517	800	745
518	801	742
519	805	743
520	806	741
521	806	738
522	808	736
523	808	734
524	809	732
525	810	730
526	811	728
527	812	726
528	813	724
529	814	722
530	815	719
531	815	717
532	816	715
533	820	716
534	821	714
535	822	712
536	824	711
537	825	709
538	826	706
539	827	704
540	828	702
541	829	700
542	830	698
543	831	696
544	831	694
545	835	694
546	836	692
547	837	690
548	846	695
549	848	693
550	859	700
551	860	698
552	861	696
553	863	694
554	864	692
555	868	693
556	869	691
557	870	689
558	871	687
559	873	686
560	874	684
561	875	682
562	876	680
563	877	678
564	878	676
565	879	674
566	881	673
567	882	671
568	883	669
569	884	667
570	885	665
571	886	663
572	888	661
573	895	664
574	896	662
575	898	661
576	899	659
577	911	665
578	912	663
579	913	661
580	914	659
581	915	657
582	916	655
583	927	660
584	928	658
585	929	656
586	930	654
587	931	652
588	932	650
589	933	648
590	934	647
591	942	649
592	943	647
593	944	645
594	945	643
595	946	641
596	947	639
597	948	637
598	949	635
599	950	633
600	950	631
601	954	630
602	955	628
603	956	626
604	957	624
605	958	622
606	958	620
607	959	618
608	960	616
609	961	614
610	962	612
611	963	610
612	964	608
613	965	606
614	965	604
615	966	602
616	970	602
617	971	600
618	972	598
619	973	596
620	974	594
621	975	592
622	976	590
623	977	588
624	977	586
625	978	584
626	979	582
627	980	580
628	981	578
629	982	576
630	983	575
631	984	573
632	986	571
633	987	570
634	989	568
635	1001	572
636	1002	571
637	1004	570
638	1005	568
639	1007	566
640	1009	565
641	1011	564
642	1015	563
643	1016	562
644	1018	560
645	1019	558
646	1020	556
647	1022	555
648	1024	553
649	1025	552
650	1026	550
651	1030	550
652	1032	548
653	1033	546
654	1034	544
655	1035	543
656	1037	541
657	1038	539
658	1039	537
659	1040	536
660	1041	534
661	1046	534
662	1047	532
663	1049	530
664	1051	529
665	1052	527
666	1054	526
667	1055	524
668	1056	522
669	1059	522
670	1061	520
671	1062	518
672	1064	517
673	1066	515
674	1067	513
675	1068	512
676	1069	510
677	1070	508
678	1072	507
679	1080	508
680	1081	506
681	1082	504
682	1083	503
683	1085	501
684	1086	499
685	1087	497
686	1088	495
687	1090	494
688	1091	492
689	1095	492
690	1096	490
691	1098	488
692	1099	487
693	1100	485
694	1101	483
695	1112	486
696	1113	484
697	1114	482
698	1116	480
699	1117	478
700	1124	479
701	1125	477
702	1126	476
703	1128	474
704	1129	472
705	1130	470
706	1131	468
707	1132	467
708	1133	465
709	1142	466
710	1144	465
711	1145	463
712	1146	461
713	1148	459
714	1149	458
715	1154	457
716	1156	456
717	1157	454
718	1158	452
719	1159	450
720	1160	449
721	1161	447
722	1163	445
723	1164	443
724	1167	442
725	1168	441
726	1170	439
727	1171	437
728	1172	435
729	1173	434
730	1174	432
731	1175	430
732	1176	428
733	1177	426
734	1178	424
735	1178	422
736	1179	421
737	1182	419
738	1184	418
739	1184	416
740	1185	414
741	1186	412
742	1187	410
743	1188	408
744	1189	407
745	1190	405
746	1191	403
747	1191	401
748	1192	399
749	1193	397
750	1194	396
751	1195	394
752	1196	392
753	1197	390
754	1198	388
755	1199	387
756	1200	385
757	1201	383
758	1202	381
759	1203	379
760	1204	378
761	1204	376
762	1205	374
763	1206	372
764	1207	370
765	1208	369
766	1212	368
767	1213	366
768	1214	364
769	1215	363
770	1216	361
771	1217	359
772	1218	357
773	1218	355
774	1219	354
775	1220	352
776	1221	350
777	1222	348
778	1223	347
779	1226	346
780	1228	344
781	1230	343
782	1232	341
783	1233	339
784	1234	337
785	1234	336
786	1235	334
787	1236	332
788	1237	330
789	1238	329
790	1241	328
791	1243	326
792	1244	324
793	1245	323
794	1246	321
795	1247	319
796	1248	317
797	1249	316
798	1250	314
799	1251	312
800	1251	311
801	1252	309
802	1253	307
803	1256	306
804	1257	304
805	1258	302
806	1260	301
807	1260	299
808	1261	297
809	1262	296
810	1263	294
811	1264	292
812	1265	291
813	1266	289
814	1267	287
815	1267	285
816	1268	284
817	1271	282
818	1273	281
819	1274	279
820	1276	278
821	1278	276
822	1279	275
823	1279	273
824	1280	271
825	1281	269
826	1282	268
827	1283	266
828	1284	264
829	1287	263
830	1288	262
831	1292	260
832	1293	259
833	1299	258
834	1301	257
835	1306	256
836	1307	254
837	1342	259
838	1343	257
839	1344	256
840	1345	254
841	1345	252
842	1346	250
843	1347	249
844	1348	247
845	1355	246
846	1356	245
847	1357	243
848	1359	241
849	1360	240
850	1360	238
851	1361	236
852	1362	234
853	1363	233
854	1369	232
855	1370	230
856	1371	228
857	1373	227
858	1374	225
859	1375	223
860	1376	222
861	1377	220
862	1378	218
863	1383	217
864	1385	216
865	1386	214
866	1388	212
867	1390	211
868	1391	209
869	1392	208
870	1393	206
871	1394	204
872	1398	203
873	1399	201
874	1401	200
875	1403	198
876	1403	196
877	1404	195
878	1405	193
879	1406	191
880	1407	190
881	1408	188
882	1409	186
883	1410	185
884	1413	183
885	1414	182
886	1415	180
887	1416	178
888	1418	177
889	1419	175
890	1420	173
891	1421	172
892	1422	170
893	1423	168
894	1423	167
895	1424	165
896	1428	164
897	1429	162
898	1430	160
899	1431	159
900	1432	157
901	1433	155
902	1433	154
903	1434	152
904	1435	150
905	1436	149
906	1437	147
907	1438	145
908	1439	144
909	1440	142
910	1444	141
911	1445	139
912	1447	137
913	1448	136
914	1449	134
915	1450	133
916	1451	131
917	1452	129
918	1453	128
919	1453	126
920	1454	124
921	1458	123
922	1459	121
923	1460	120
924	1461	118
925	1462	116
926	1462	115
927	1463	113
928	1464	111
929	1465	110
930	1466	108
931	1467	107
932	1468	105
933	1469	103
934	1469	102
935	1473	100
936	1474	99
937	1475	97
938	1476	95
939	1477	94
940	1478	92
941	1478	91
942	1479	89
943	1480	87
944	1481	86
945	1482	84
946	1483	83
947	1484	81
948	1485	79
949	1488	78
950	1489	76
951	1490	75
952	1491	73
953	1492	71
954	1493	70
955	1493	68
956	1494	67
957	1495	65
958	1496	63
959	1497	62
960	1498	60
961	1499	59
962	1500	57
963	1500	56
964	1504	54
965	1505	52
966	1506	51
967	1506	49
968	1507	48
969	1508	46
970	1509	45
971	1510	43
972	1511	41
973	1512	40
974	1513	38
975	1514	37
976	1514	35
977	1515	34
978	1519	32
979	1519	31
980	1520	29
981	1521	27
982	1522	26
983	1523	24
984	1524	23
985	1525	21
986	1526	20
987	1526	18
988	1527	16
989	1528	15
990	1529	13
991	1530	12
992	1531	10
993	1534	9
994	1535	7
995	1536	6
996	1537	4
997	1538	3
998	1539	1
999	1540	0
